movie_id,title,runtime,rating_encoded,is_korean,genre,open_date,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,trend_pre7_avg,trend_pre7_max,trend_growth_rate,relative_search_share,has_trend_data,total_audience,log_audience,hit_class
20192300,스파이 지니어스,101.0,0.0,0.0,애니메이션,2020-01-22,1.0,2.0,0,1,0,2,0.0,0,4043489.428571429,7,5284145.571428572,3296601.9821428573,56,0.0,0,2,321636.4285714286,12.295714285714284,19.65,1.950565430550624,0.399674528700651,1,446274,13.008690632915753,0
20192354,특송,108.0,2.0,1.0,범죄,2022-01-12,1.0,2.0,0,1,0,0,2039905.0,1,4043689.481481482,5,4554679.333333333,0.0,0,1276758.0,2,6,199397.42857142858,71.33285714285714,100.0,2.227504360614248,0.6388718944512422,1,439188,12.992685123326472,0
20192399,1917,119.0,2.0,0.0,드라마,2020-02-19,2.0,2.0,0,0,0,0,2080474.0,2,1352338.1744505495,11,2106065.0714285714,248899.5,12,0.0,0,1,361144.14285714284,3.224285714285714,3.89,0.6161447953918813,0.09344874944554248,1,860622,13.665411824569835,0
20192401,포드 V 페라리,152.0,1.0,0.0,액션,2019-12-04,12.0,2.0,0,1,0,0,1829531.6666666667,3,1170385.6904761905,11,1549980.6666666667,3384965.6481481483,54,0.0,0,2,736241.2857142857,9.671428571428573,18.01,2.3925361354239065,0.03683566258326525,1,1326017,14.097691024296443,0
20192522,슈퍼 레이스,89.0,0.0,0.0,애니메이션,2020-07-23,7.0,3.0,1,0,0,0,0.0,0,260738.24761904762,5,571665.0,56595.232558139534,43,0.0,0,5,282021.14285714284,1.1085714285714285,1.72,0.7543012668891552,0.009256580620089043,1,6503,8.780172651227646,0
20192567,원더 우먼 1984,150.0,1.0,0.0,액션,2020-12-23,12.0,2.0,0,1,0,1,2149915.0,1,1358691.75,6,1633609.0,1324914.3082706768,133,0.0,0,2,22511.571428571428,10.55285714285714,13.94,2.1230265174739418,0.09985335377898608,1,548695,13.215299833062412,0
20192589,빅 위시,79.0,0.0,0.0,판타지,2019-10-30,10.0,2.0,0,0,0,0,0.0,0,0.0,0,0.0,51848.3962264151,53,0.0,0,2,382830.71428571426,7.158571428571428,16.6,3.192939977061298,0.08346259322223186,1,29549,10.293839022834245,0
20192604,오즈의 마법사: 요술구두와 말하는 책,76.0,0.0,0.0,애니메이션,2020-01-22,1.0,2.0,0,1,0,2,0.0,0,0.0,0,0.0,50157.91071428572,56,0.0,0,2,321636.4285714286,0.08857142857142856,0.37,1.7074010327022375,0.0032890565559218865,1,20912,9.94812625415451,0
20192689,별의 정원,74.0,0.0,1.0,애니메이션,2019-07-04,7.0,3.0,1,0,0,0,0.0,0,1425575.9428571428,4,2404461.4285714286,41691.84210526316,19,0.0,0,0,721711.2857142857,0.5214285714285715,0.97,2.53120665742025,0.0032782711098379965,1,8125,9.002824076547672,0
20192696,발신제한,94.0,2.0,1.0,스릴러,2021-06-23,6.0,2.0,0,0,0,0,0.0,0,3515475.771794872,8,4298987.0,0.0,0,1080979.3333333333,6,0,168771.14285714287,25.905714285714286,35.91,1.725743723789645,0.199812761501635,1,950877,13.765141047283452,0
